Subject Code,Subject Title,Subject Group Code,Component Code,For Every (Week),Start Week,End Week,Day of Week,Start Time,End Time,Venue,Teaching Staff,Remark
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,10,12,Sat,14:30,18:20,Y716,Ka-sing LEUNG,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,13,13,Sat,9:30,12:20,Y716,"KWOK, KWH, Ka-sing LEUNG",
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,1,2,Thu,18:30,21:20,BC404,"Ka-sing LEUNG, Kahing Wong",
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,3,3,Tue,18:30,21:20,P303,"Ka-sing LEUNG, Kahing Wong",
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,4,5,Thu,18:30,21:20,BC404,"Ka-sing LEUNG, Kahing Wong",
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,6,6,Thu,18:30,21:20,BC404,Kahing Wong,
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,7,8,Thu,18:30,21:20,BC404,"Ka-sing LEUNG, Kahing Wong",
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,9,9,Tue,18:30,21:20,BC303,Dr Scott Keith Crerar,
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,9,9,Thu,18:30,21:20,BC404,Dr Scott Keith Crerar,
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,11,11,Thu,18:30,21:20,BC404,Ms May Kan,
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,12,12,Thu,18:30,21:20,BC404,Ms Alice Wong,
ABCT5014,"INTERNATIONAL FOOD STANDARDS, LAWS AND REGULATIONS",1010,LTL001,1,13,13,Thu,18:30,21:20,BC404,"Ka-sing LEUNG, Kahing Wong",
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,1,1,Tue,18:30,21:20,P303,"Chiou, Jiachi amber",
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,2,2,Tue,18:30,21:20,P303,"YOUNG, GLENN M",
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,3,3,Thu,18:30,21:20,BC404,"YOUNG, GLENN M",
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,4,7,Tue,18:30,21:20,P303,"TAM, John SL",
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,8,8,Tue,18:30,21:20,P303,Dr Barry Bousfield,
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,10,10,Tue,18:30,21:20,P303,Dr Barry Bousfield,
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,10,10,Thu,18:30,21:20,BC404,"Chiou, Jiachi amber",
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,11,12,Tue,18:30,21:20,P303,"YOUNG, GLENN M",
ABCT5015,FOODBORNE CHEMICAL AND MICROBIAL HAZARDS: CASE STUDIES,1010,LTL001,1,13,13,Tue,18:30,21:20,P303,Ka-sing LEUNG,
ABCT604A,ATTENDANCE IN RESEARCH SEMINARS/WORKSHOPS/CONFERENCES I,"1008, 1888",SEM001,1,1,13,,,,N/A,Not Applicable,
ABCT604B,ATTENDANCE IN RESEARCH SEMINARS/WORKSHOPS/CONFERENCES II,"1008, 1888",SEM001,1,1,13,,,,N/A,Not Applicable,
ABCT604C,ATTENDANCE IN RESEARCH SEMINARS/WORKSHOPS/CONFERENCES III,"1008, 1888",SEM001,1,1,13,,,,N/A,Not Applicable,
ABCT604D,ATTENDANCE IN RESEARCH SEMINARS/WORKSHOPS/CONFERENCES IV,"1008, 1888",SEM001,1,1,13,,,,N/A,Not Applicable,
ABCT605,PRACTICUM I,"1008, 1888",TRN001,1,1,13,,,,N/A,Not Applicable,
ABCT606,PRACTICUM II,"1008, 1888",TRN001,1,1,13,,,,N/A,Not Applicable,
ABCT612,ADVANCED CHEMICAL INSTRUMENTATION FOR RESEARCH,"1888, 1889",LEC001,1,1,13,Wed,18:30,21:20,Y409,wm kwok,
ABCT6805,GUIDED STUDY ON FRONTIER RESEARCH TOPICS IN CHEMISTRY,"1888, 1889",GST001,1,1,13,,,,N/A,Not Applicable,
ABCT6806,GUIDED STUDY ON FRONTIER RESEARCH TOPICS IN BIOLOGY,"1888, 1889",GST001,1,1,13,,,,N/A,Not Applicable,
ABCT6807,GUIDED STUDY ON FRONTIER RESEARCH TOPICS IN CHEMICAL TECHNOLOGY,"1888, 1889",GST001,1,1,13,,,,N/A,Not Applicable,
,,,,,,,,,,,,
